organism,populationSize,mutationProbability,crossoverProbability,kValue,runningDataset,fold,GMean,selectionRate,Best GMean AGMO
Drosophila melanogaster,100,0.20000000298023224,0.5,5,MFCC,3,0.8058229640253803,0.6684210526315789,0.8058229640253803
Drosophila melanogaster,100,0.20000000298023224,0.5,5,BP,3,0.9258200997725514,0.6969981238273921,0.9258200997725514
Drosophila melanogaster,100,0.20000000298023224,0.5,5,BPCC,3,0.8827348295047495,0.5904382470119522,0.8827348295047495
Drosophila melanogaster,100,0.20000000298023224,0.5,5,BPMF,3,1.0,0.6496199032480995,1.0
Drosophila melanogaster,100,0.20000000298023224,0.5,5,BPMFCC,3,0.9258200997725514,0.621638141809291,0.9258200997725514
Mus musculus,100,0.20000000298023224,0.5,5,CC,3,1.0,0.6503067484662577,1.0
Mus musculus,100,0.20000000298023224,0.5,5,MF,3,0.7905694150420949,0.5825602968460112,0.7905694150420949
Mus musculus,100,0.20000000298023224,0.5,5,MFCC,3,1.0,0.6011560693641619,1.0
Mus musculus,100,0.20000000298023224,0.5,5,BP,3,0.8660254037844386,0.5954797047970479,0.8660254037844386
Mus musculus,100,0.20000000298023224,0.5,5,BPCC,3,0.8100925873009825,0.6251002405773858,0.8100925873009825
Mus musculus,100,0.20000000298023224,0.5,5,BPMF,3,0.8660254037844386,0.6926486885851496,0.8660254037844386
Mus musculus,100,0.20000000298023224,0.5,5,BPMFCC,3,0.8100925873009825,0.5789647213979559,0.8100925873009825
Caenorhabditis elegans,100,0.20000000298023224,0.5,5,CC,3,0.7438107540697584,0.7698209718670077,0.8145314840210527
Caenorhabditis elegans,100,0.20000000298023224,0.5,5,MF,3,0.6354889093022426,0.8471428571428572,0.6354889093022426
Caenorhabditis elegans,100,0.20000000298023224,0.5,5,MFCC,3,0.7863480115484951,0.768102658111824,0.7863480115484951
Caenorhabditis elegans,100,0.20000000298023224,0.5,5,BP,3,0.7614996105085897,0.8593183466279913,0.7614996105085897
Caenorhabditis elegans,100,0.20000000298023224,0.5,5,BPCC,3,0.8158924398306318,0.8581920903954803,0.8158924398306318
Caenorhabditis elegans,100,0.20000000298023224,0.5,5,BPMF,3,0.760527689741738,0.6801346801346801,0.760527689741738
Caenorhabditis elegans,100,0.20000000298023224,0.5,5,BPMFCC,3,0.8067760370539627,0.7898785425101215,0.8067760370539627
Saccharomyces cerevisiae,100,0.20000000298023224,0.5,5,CC,3,0.0,0.5700483091787439,0.6117136163165708
Saccharomyces cerevisiae,100,0.20000000298023224,0.5,5,MF,3,0.4472135954999579,0.6478365384615384,0.5679618342470648
Saccharomyces cerevisiae,100,0.20000000298023224,0.5,5,MFCC,3,0.0,0.586677367576244,0.4472135954999579
Saccharomyces cerevisiae,100,0.20000000298023224,0.5,5,BP,3,0.0,0.580945558739255,0.5792096951603469
Saccharomyces cerevisiae,100,0.20000000298023224,0.5,5,BPCC,3,0.0,0.6060773480662983,0.4472135954999579
Saccharomyces cerevisiae,100,0.20000000298023224,0.5,5,BPMF,3,0.4472135954999579,0.6611310592459605,0.6324555320336759
Saccharomyces cerevisiae,100,0.20000000298023224,0.5,5,BPMFCC,3,0.4472135954999579,0.5874337623012869,0.4472135954999579
Drosophila melanogaster,100,0.20000000298023224,0.5,9,CC,3,0.5096471914376255,0.6190476190476191,0.7644707871564383
Drosophila melanogaster,100,0.20000000298023224,0.5,9,MF,3,0.6546536707079771,0.6876640419947506,0.7559289460184544
Drosophila melanogaster,100,0.20000000298023224,0.5,9,MFCC,3,0.6241877839323592,0.49298245614035086,0.6241877839323592
Drosophila melanogaster,100,0.20000000298023224,0.5,9,BP,3,0.8827348295047495,0.800187617260788,0.8827348295047495
Drosophila melanogaster,100,0.20000000298023224,0.5,9,BPCC,3,0.8451542547285166,0.6223107569721116,0.8451542547285166
Drosophila melanogaster,100,0.20000000298023224,0.5,9,BPMF,3,1.0,0.7152729785763648,1.0
Drosophila melanogaster,100,0.20000000298023224,0.5,9,BPMFCC,3,0.9534625892455924,0.780562347188264,0.9534625892455924
Mus musculus,100,0.20000000298023224,0.5,9,CC,3,0.8660254037844386,0.4938650306748466,0.8660254037844386
Mus musculus,100,0.20000000298023224,0.5,9,MF,3,0.8660254037844386,0.562152133580705,0.8660254037844386
Mus musculus,100,0.20000000298023224,0.5,9,MFCC,3,1.0,0.7433526011560694,1.0
Mus musculus,100,0.20000000298023224,0.5,9,BP,3,0.8660254037844386,0.5821033210332104,0.8660254037844386
Mus musculus,100,0.20000000298023224,0.5,9,BPCC,3,0.8100925873009825,0.6130713712910987,0.8100925873009825
Mus musculus,100,0.20000000298023224,0.5,9,BPMF,3,0.8660254037844386,0.5988178795714814,0.8660254037844386
Mus musculus,100,0.20000000298023224,0.5,9,BPMFCC,3,0.8660254037844386,0.5786350148367952,0.8660254037844386
Caenorhabditis elegans,100,0.20000000298023224,0.5,9,CC,3,0.7653749516204769,0.8746803069053708,0.8104349040655953
Caenorhabditis elegans,100,0.20000000298023224,0.5,9,MF,3,0.6105579948610593,0.7371428571428571,0.6105579948610593
Caenorhabditis elegans,100,0.20000000298023224,0.5,9,MFCC,3,0.7980189969710164,0.8157653528872594,0.7980189969710164
Caenorhabditis elegans,100,0.20000000298023224,0.5,9,BP,3,0.7692307692307693,0.8063814358230602,0.7692307692307693
Caenorhabditis elegans,100,0.20000000298023224,0.5,9,BPCC,3,0.8158924398306318,0.8282485875706215,0.8158924398306318
Caenorhabditis elegans,100,0.20000000298023224,0.5,9,BPMF,3,0.7143913700387196,0.6801346801346801,0.7143913700387196
Caenorhabditis elegans,100,0.20000000298023224,0.5,9,BPMFCC,3,0.8067760370539627,0.802834008097166,0.8067760370539627
Saccharomyces cerevisiae,100,0.20000000298023224,0.5,9,CC,3,0.0,0.5579710144927537,0.39349550147037177
Saccharomyces cerevisiae,100,0.20000000298023224,0.5,9,MF,3,0.4472135954999579,0.5817307692307693,0.5902432522055576
Saccharomyces cerevisiae,100,0.20000000298023224,0.5,9,MFCC,3,0.4472135954999579,0.5561797752808989,0.4472135954999579
Saccharomyces cerevisiae,100,0.20000000298023224,0.5,9,BP,3,0.0,0.5959885386819485,0.3852104577684692
Saccharomyces cerevisiae,100,0.20000000298023224,0.5,9,BPCC,3,0.0,0.5828729281767956,0.4472135954999579
